5000_q1,10000_q1,25000_q1,50000_q1,5000_q2,10000_q2,25000_q2,50000_q2,5000_q3,10000_q3,25000_q3,50000_q3,5000_q4,10000_q4,25000_q4,50000_q4,5000_q5,10000_q5,25000_q5,50000_q5
9.74E-05,4.97E-05,2.04E-05,9.85E-06,9.01E-05,4.66E-05,1.98E-05,9.87E-06,4.24E-05,3.19E-05,1.55E-05,1.81E-05,4.30E-06,1.32E-05,1.21E-05,1.10E-05,3.44E-06,2.13E-06,4.34E-06,4.62E-06
1.15E-04,4.98E-05,2.09E-05,9.55E-06,0.000234378,5.48E-05,1.90E-05,1.09E-05,1.76E-05,2.32E-05,2.47E-05,8.75E-06,1.53E-05,6.62E-05,7.89E-06,8.73E-06,1.83E-06,2.15E-06,3.31E-06,2.56E-06
1.01E-04,5.14E-05,2.02E-05,1.02E-05,0.000102794,4.58E-05,1.96E-05,9.99E-06,4.14E-05,2.20E-05,2.34E-05,9.87E-06,0.002258927,1.24E-05,7.48E-06,6.12E-06,1.69E-06,1.10E-06,2.22E-06,2.12E-06
1.13E-04,4.87E-05,1.93E-05,9.62E-06,0.000125092,4.65E-05,1.89E-05,9.94E-06,5.76E-05,2.15E-05,1.76E-05,6.58E-06,1.11E-05,2.03E-05,9.52E-06,9.48E-06,1.33E-06,1.39E-06,1.39E-06,1.52E-06
1.17E-04,5.34E-05,1.95E-05,9.27E-06,0.000112909,5.06E-05,2.02E-05,1.01E-05,2.73E-05,2.06E-05,1.69E-05,1.10E-05,4.65E-05,1.52E-05,7.39E-06,8.91E-06,2.01E-06,1.15E-06,3.02E-06,3.17E-06
9.74E-05,4.93E-05,2.02E-05,9.78E-06,0.000103046,4.89E-05,2.12E-05,9.66E-06,3.43E-05,2.82E-05,1.92E-05,8.26E-06,1.07E-05,2.61E-05,1.43E-05,5.53E-06,1.57E-06,2.77E-06,7.71E-07,1.61E-06
1.02E-04,5.06E-05,1.95E-05,1.02E-05,7.47E-05,4.78E-05,1.85E-05,1.04E-05,2.72E-05,4.19E-05,1.87E-05,1.02E-05,4.65E-05,1.19E-05,1.30E-05,6.92E-06,1.18E-06,1.91E-06,3.35E-05,1.21E-06
9.83E-05,4.76E-05,1.89E-05,1.01E-05,7.83E-05,6.06E-05,1.86E-05,8.88E-06,6.29E-05,3.53E-05,1.14E-05,6.81E-06,2.13E-05,1.19E-05,1.04E-05,8.28E-06,1.43E-06,1.17E-05,7.66E-07,1.35E-06
8.72E-05,4.76E-05,1.91E-05,9.81E-06,0.000129013,5.27E-05,2.14E-05,9.84E-06,2.93E-05,3.63E-05,2.26E-05,1.38E-05,1.29E-05,1.63E-05,8.66E-06,3.24E-06,1.07E-06,1.91E-06,1.46E-06,1.14E-06
1.02E-04,5.47E-05,1.97E-05,9.94E-06,0.000102211,6.23E-05,1.94E-05,1.06E-05,5.52E-05,4.26E-05,1.97E-05,7.78E-06,1.06E-05,8.30E-06,1.06E-05,7.52E-06,2.15E-06,1.56E-06,3.13E-06,2.84E-06
9.94E-05,5.32E-05,2.03E-05,9.22E-06,9.38E-05,5.04E-05,1.90E-05,9.79E-06,1.87E-05,2.15E-05,2.29E-05,1.29E-05,1.69E-05,2.03E-05,1.72E-05,9.40E-06,5.08E-06,4.42E-06,2.53E-06,9.34E-07
1.03E-04,5.00E-05,1.95E-05,1.00E-05,0.000101974,5.13E-05,1.96E-05,9.91E-06,3.61E-05,1.67E-05,1.86E-05,1.10E-05,1.64E-05,7.65E-06,6.66E-06,6.34E-06,1.17E-05,6.06E-06,3.17E-06,1.98E-06
1.03E-04,5.03E-05,2.05E-05,9.88E-06,9.69E-05,5.15E-05,1.83E-05,9.92E-06,2.27E-05,1.76E-05,1.41E-05,1.02E-05,1.21E-05,6.17E-05,5.80E-05,7.67E-06,1.86E-06,7.29E-06,8.71E-06,2.05E-06
