SPR,SPQ,s,Pq,Pr,l,m,median_total_cells,median_resistant_cells,median_transient_cells,median_total_resistant_cells,resistant_fraction,total_resistant_fraction,primary_metric,final_state,num_replicates,replicate_1_primary_metric,replicate_2_primary_metric,replicate_3_primary_metric,replicate_4_primary_metric,replicate_5_primary_metric,replicate_6_primary_metric,replicate_7_primary_metric,replicate_8_primary_metric,replicate_9_primary_metric,replicate_10_primary_metric
2.5,7.5,0.1,5.530843701478336e-05,0.00820849986238988,5.530843701478336e-05,5.714285714285714e-07,4166917421.0,1191717416.5,4881287.0,1196598703.5,0.28599496848536177,0.2871664068669817,0.2871664068669817,relapsed,10,0.15944095266186337,0.2848248715103397,0.29177692398970556,0.25929882174717567,0.2899585210194572,0.2917339482910939,0.29079863845683357,0.292778762040887,0.2895138124788655,0.1951007950706297
2.5,7.75,0.1,4.307425405756875e-05,0.00820849986238988,4.307425405756875e-05,5.714285714285714e-07,4191043350.0,1106858223.5,3607520.5,1110465744.0,0.26410087681388456,0.2649616458870558,0.2649616458870558,relapsed,10,0.2383716660732563,0.2618662262421324,0.26418350160192056,0.2791267528056189,0.2382516732714193,0.26869963384830564,0.2917220447461583,0.23450042077790936,0.2877484023905659,0.22588275554506285
2.5,8.0,0.1,3.354626279025118e-05,0.00820849986238988,3.354626279025118e-05,5.714285714285714e-07,4163822419.5,1181440300.5,2945638.0,1184385938.5,0.28373935808767503,0.28444679411717644,0.28444679411717644,relapsed,10,0.28527262290746386,0.26317071270336034,0.28083624460268447,0.28545943815653696,0.2853075706581742,0.29070656845931286,0.2589877177682405,0.27249824465801004,0.28818521340273523,0.2922277163402896
2.5,8.25,0.1,2.6125855730166755e-05,0.00820849986238988,2.6125855730166755e-05,5.714285714285714e-07,4173232589.5,1171407181.0,2278413.0,1173685594.0,0.28069539760311984,0.281241356389537,0.281241356389537,relapsed,10,0.29224222369580827,0.28698223897847536,0.21585369989125813,0.27399672676634185,0.2821335416178165,0.2905334129528922,0.2912909775753182,0.2561048809413476,0.28742632434508036,0.3027397720763333
2.5,8.5,0.1,2.0346836901064418e-05,0.00820849986238988,2.0346836901064418e-05,5.714285714285714e-07,4219081501.5,1165875260.5,1780924.5,1167656185.0,0.27633390350138987,0.2767560153992915,0.2767560153992915,relapsed,10,0.19530193138066382,0.2906111751880684,0.28602257791561814,0.2872137392524125,0.15376416880728727,0.23026950186527084,0.20108906943973012,0.2848831714215298,0.2818419315343559,0.2897047167467445
2.5,8.75,0.1,1.5846132511575125e-05,0.00820849986238988,1.5846132511575125e-05,5.714285714285714e-07,4215208034.5,1178738077.0,1396850.5,1180134927.5,0.2796393599918301,0.2799707435175226,0.2799707435175226,relapsed,10,0.2913979046759594,0.27204205406157406,0.2858846706093678,0.2868387957590022,0.2873958763803862,0.28584939948808075,0.26828841309871043,0.2832531402022821,0.19770284943334315,0.2773891919671213
2.5,9.0,0.1,1.2340980408667955e-05,0.00820849986238988,1.2340980408667955e-05,5.714285714285714e-07,4204657492.5,1165819339.0,1079841.0,1166899180.0,0.2772685625593795,0.27752538276457484,0.27752538276457484,relapsed,10,0.16389789709048797,0.29133930199650104,0.28248187710753475,0.2821836514894651,0.288068124839126,0.2912073376926466,0.28268227001053187,0.26972462515730466,0.2856087069331542,0.2889797881493518
2.5,9.25,0.1,9.61116520613947e-06,0.00820849986238988,9.61116520613947e-06,5.714285714285714e-07,4151227221.5,1168527295.5,839706.0,1169367001.5,0.2814896013034347,0.2816918802814803,0.2816918802814803,relapsed,10,0.29076396595690546,0.2889934069761734,0.28919103455994183,0.28337271625556676,0.2899268105144569,0.28304111618424044,0.2925965599476529,0.2865242871456113,0.2698106634195319,0.28336675775521764
2.5,9.5,0.1,7.48518298877006e-06,0.00820849986238988,7.48518298877006e-06,5.714285714285714e-07,4195201100.0,1188435390.0,665494.5,1189100884.5,0.2832844866483278,0.2834431189722943,0.2834431189722943,relapsed,10,0.2906321619719593,0.22059783584147083,0.29135194865949626,0.28913769216368546,0.17379303210434774,0.2193429349649123,0.2898467298857495,0.2740313173682591,0.28841663157262004,0.28353139288759155
2.5,9.75,0.1,5.829466373086882e-06,0.00820849986238988,5.829466373086882e-06,5.714285714285714e-07,4185387511.5,1178639872.0,510790.5,1179150662.5,0.28160830240007756,0.2817303437877857,0.2817303437877857,relapsed,10,0.22600031634375878,0.2081470593117961,0.28822177665376897,0.28792255137452905,0.28942864371273663,0.2831774651055534,0.29031701062138493,0.2853447385887982,0.2913479686570863,0.2472702241590353
2.5,10.0,0.1,4.539992976248485e-06,0.00820849986238988,4.539992976248485e-06,5.714285714285714e-07,4198768712.5,1167275924.5,394998.0,1167670922.5,0.27800433994493334,0.2780984146670832,0.2780984146670832,relapsed,10,0.28754311255048737,0.2266213376796111,0.2852914764563227,0.2575951749476641,0.2798441947825988,0.2842877178369933,0.19713862730127096,0.28125284810434076,0.28222495974254164,0.2887950088749658
2.5,10.25,0.1,3.5357500850409987e-06,0.00820849986238988,3.5357500850409987e-06,5.714285714285714e-07,4154112013.5,1157361767.5,310869.0,1157672636.5,0.2786062975044522,0.27868113154816354,0.27868113154816354,relapsed,10,0.28464271531820845,0.28944878598488377,0.2897274617483422,0.2758882524273974,0.2118865855743484,0.277030555119279,0.2871432795454712,0.28755157766099865,0.20842243645571532,0.2815696157202147
2.5,10.5,0.1,2.753644934974716e-06,0.00820849986238988,2.753644934974716e-06,5.714285714285714e-07,4157737434.0,1188408296.0,246155.5,1188654451.5,0.2858305303941904,0.28588973458971917,0.28588973458971917,relapsed,10,0.2910321014252528,0.2870409849257487,0.28467221213717836,0.28991437710472806,0.28272366319562264,0.22302135330157247,0.2677219920039608,0.28537836853496124,0.2871895678100501,0.2896904029247526
2.5,10.75,0.1,2.1445408316589166e-06,0.00820849986238988,2.1445408316589166e-06,5.714285714285714e-07,4076057418.0,1152647307.0,183404.5,1152830711.5,0.2827848552647646,0.282829850828171,0.282829850828171,relapsed,10,0.29145673906158004,0.26521292449482614,0.2885004241548012,0.23238041738714127,0.2827359657785741,0.288161925177595,0.2889632749407383,0.27564273898154534,0.2885719945839269,0.2858475725598032
2.5,11.0,0.1,1.670170079024566e-06,0.00820849986238988,1.670170079024566e-06,5.714285714285714e-07,4146825813.0,1111040290.5,141031.5,1111181322.0,0.2679254785713373,0.267959488077972,0.267959488077972,relapsed,10,0.25773810365453187,0.26130211155681815,0.2539473065978829,0.2735381697321108,0.25666769975071213,0.2872513437696537,0.2691919479797729,0.28906013285709237,0.2914406975410691,0.2767024209326834
