condition_index,replicate_number,final_generation,final_state,initial_size,s,m,q,r,l,idle,final_total_cells,final_sensitive,final_transient,final_resistant,final_n_clones,fraction_sensitive,fraction_transient,fraction_resistant,treatment_schedule,drug_type,doses_given,treatment_active_at_end,total_cell_events,total_driver_mutations,mutation_rate
2,21,321,relapsed,1000,0.06848784292355799,9.475142670452575e-07,1.1232168515525427e-09,0.00012523986049887384,8.921478759546227e-05,0.2984045685973956,4069964360,3585052624,180,484911556,18395,0.8808560240070505,4.422643150614714e-08,0.11914393176651797,off,abs,0,False,78374166534,50059,6.387181161063268e-07
2,22,312,relapsed,1000,0.06848784292355799,9.475142670452575e-07,1.1232168515525427e-09,0.00012523986049887384,8.921478759546227e-05,0.2984045685973956,4276196535,4200187228,221,76009086,17038,0.982225020207122,5.168144125068844e-08,0.01777492811143677,off,abs,0,False,65173827720,42234,6.480208617091793e-07
2,23,315,relapsed,1000,0.06848784292355799,9.475142670452575e-07,1.1232168515525427e-09,0.00012523986049887384,8.921478759546227e-05,0.2984045685973956,4038465338,3926631797,232,111833309,17374,0.9723079111394864,5.7447564998761416e-08,0.02769203141294858,off,abs,0,False,71654914076,45992,6.418540946294219e-07
2,24,302,relapsed,1000,0.06848784292355799,9.475142670452575e-07,1.1232168515525427e-09,0.00012523986049887384,8.921478759546227e-05,0.2984045685973956,4139594303,4049155250,50,90439003,15784,0.9781526771996816,1.2078478309762037e-08,0.021847310721840076,off,abs,0,False,57831549744,37340,6.45668327501011e-07
2,25,296,relapsed,1000,0.06848784292355799,9.475142670452575e-07,1.1232168515525427e-09,0.00012523986049887384,8.921478759546227e-05,0.2984045685973956,4290419805,4225274645,57,65145103,15993,0.9848161338608216,1.3285413220769897e-08,0.015183852853765204,off,abs,0,False,56661127847,36752,6.486281053077534e-07
2,26,325,relapsed,1000,0.06848784292355799,9.475142670452575e-07,1.1232168515525427e-09,0.00012523986049887384,8.921478759546227e-05,0.2984045685973956,4006681110,3887592559,195,119088356,18246,0.9702775070611996,4.866870974915196e-08,0.029722444270090662,off,abs,0,False,79306320683,50426,6.358383488947969e-07
2,27,324,relapsed,1000,0.06848784292355799,9.475142670452575e-07,1.1232168515525427e-09,0.00012523986049887384,8.921478759546227e-05,0.2984045685973956,4041678029,3900184197,4989,141488843,19056,0.9649913152446217,1.234388282342814e-06,0.03500745036709603,off,abs,0,False,83208347465,52882,6.355371980226359e-07
2,28,305,relapsed,1000,0.06848784292355799,9.475142670452575e-07,1.1232168515525427e-09,0.00012523986049887384,8.921478759546227e-05,0.2984045685973956,4033686684,3960190334,1088,73495262,16227,0.9817793607293471,2.697284358538939e-07,0.01822036954221703,off,abs,0,False,62717319149,40636,6.479231024441503e-07
2,29,324,relapsed,1000,0.06848784292355799,9.475142670452575e-07,1.1232168515525427e-09,0.00012523986049887384,8.921478759546227e-05,0.2984045685973956,4166154532,4022530193,137,143624202,19553,0.9655259213510133,3.2884041853875235e-08,0.034474045764944755,off,abs,0,False,84407595605,53985,6.395751426522346e-07
2,30,304,relapsed,1000,0.06848784292355799,9.475142670452575e-07,1.1232168515525427e-09,0.00012523986049887384,8.921478759546227e-05,0.2984045685973956,4176304521,4092358127,137,83946257,16778,0.9798993599298407,3.2804121277821926e-08,0.02010060726603801,off,abs,0,False,64306813780,41527,6.457636066695513e-07
