K,Id,Parent,ParentType,N,Ns,Nr,Nq,T
13783,95058,0,S,607,607,0,0,15721
13784,95134,0,S,9781,9781,0,0,15721
13785,95222,0,S,681,681,0,0,15721
13787,95425,0,S,7375,7375,0,0,15721
13787,95477,0,S,6114,6114,0,0,15721
13791,95821,0,S,2647,2647,0,0,15721
13791,95852,0,S,1269,1269,0,0,15721
13791,95876,4241,S,52089,52089,0,0,15721
13792,95941,0,S,7270,7270,0,0,15721
13793,96034,0,S,2163,2163,0,0,15721
13798,96489,235,S,13096,13096,0,0,15721
13798,96503,1880,S,135119,135119,0,0,15721
13799,96573,0,S,13349,13349,0,0,15721
13801,96759,0,S,5624,5624,0,0,15721
13801,96761,0,S,2113,2113,0,0,15721
13801,96785,235,S,34842,34842,0,0,15721
13802,96895,642,S,51646,51646,0,0,15721
13806,97307,0,S,18142,18142,0,0,15721
13809,97618,235,S,4974,4974,0,0,15721
13811,97817,642,S,25468,25468,0,0,15721
13815,98154,0,S,12368,12368,0,0,15721
13818,98527,235,S,15263,15263,0,0,15721
13819,98566,0,S,1849,1849,0,0,15721
13820,98747,2157,S,8891,8891,0,0,15721
13823,99008,0,S,195,195,0,0,15721
13825,99194,0,S,19175,19175,0,0,15721
13828,99518,0,S,5360,5360,0,0,15721
13829,99602,0,S,11479,11479,0,0,15721
13829,99615,0,S,31,31,0,0,15721
13831,99834,0,S,4120,4120,0,0,15721
13831,99898,642,S,11736,11736,0,0,15721
13838,100639,235,S,45524,45524,0,0,15721
13840,100850,235,S,28267,28267,0,0,15721
13841,100962,642,S,24610,24610,0,0,15721
13845,101355,0,S,2040,2040,0,0,15721
13846,101385,0,S,28489,28489,0,0,15721
13846,101425,0,S,8380,8380,0,0,15721
13848,101654,0,S,10282,10282,0,0,15721
13853,102190,235,S,48385,48385,0,0,15721
13856,102461,0,S,9417,9417,0,0,15721
13856,102471,235,S,22995,22995,0,0,15721
13857,102537,0,S,4102,4102,0,0,15721
13857,102578,235,S,26268,26268,0,0,15721
13858,102638,0,S,5425,5425,0,0,15721
13870,103834,0,S,942,942,0,0,15721
13870,103922,4241,S,221529,221529,0,0,15721
13873,104164,0,S,13398,13398,0,0,15721
13878,104822,1880,S,42325,42311,0,14,15721
13879,104844,0,S,1662,1662,0,0,15721
13879,104845,0,S,4146,4146,0,0,15721
13885,105491,0,S,7786,7786,0,0,15721
13887,105758,0,S,1086,1086,0,0,15721
13887,105773,0,S,6297,6297,0,0,15721
